Id,age,sex,social_class,primary_business,secondary_business,annual_income,monthly_expenses,old_dependents,young_dependents,home_ownership,occupants_count,house_area,sanitary_availability,water_availabity,loan_purpose,loan_tenure,loan_installments,loan_amount
1,22,F,Mochi,Tailoring,Others,36000,5000,0,2,1,4,70,1,0.5,Apparels,12,12,5000
2,21,F,OBC,Tailoring,none,94000,3600,1,1,1,4,80,1,0.5,Apparels,12,50,7500
3,24,M,Nai,Beauty salon,Others,48000,4000,0,2,1,4,50,1,0.5,Beauty Salon,12,12,5000
4,26,F,OBC,Tailoring,none,7000,5000,0,2,1,5,50,1,0.5,Apparels,12,50,7500
5,23,F,OBC,General store,Agriculture,36000,3500,0,0,1,1,112,1,0.5,Retail Store,12,12,5000
6,23,F,OBC,General store,none,36000,3500,0,0,1,1,112,1,0.5,Retail Store,12,12,5000
7,22,F,Muchi,Tailoring,Others,36000,3000,0,1,1,3,60,1,0.5,Apparels,12,12,5000
8,28,F,OBC,Tailoring,none,7000,5000,0,2,1,5,40,1,0.5,Apparels,12,50,7500
9,38,F,Muchi,Puffed rice business,Others,36000,5000,0,2,1,5,50,1,0.5,Eateries,12,12,5000
10,25,F,Muchi,General store,Others,36000,5000,0,3,1,5,50,1,0.5,Retail Store,12,12,5000
11,25,F,OBC,Poultry farm,Daily wage labourer,40000,3000,0,0,1,1,110,1,0.5,Meat Businesses,12,12,5000
12,26,F,Muchi,Puffed rice business,Others,60000,5000,0,3,1,5,50,1,0.5,Eateries,12,12,5000
13,34,F,OBC,Tailoring,none,95000,5200,1,4,1,7,50,1,0.5,Apparels,12,50,7500
14,37,F,Muchi,Tailoring,Others,36000,5000,0,3,1,5,60,1,0.5,Apparels,12,12,5000
15,50,F,Kusbaha,General store,Others,42000,3500,0,0,0,4,40,1,0.5,Retail Store,12,12,5000
16,54,M,Rajput,Tea stall,Others,48000,4000,0,1,0,5,50,1,0.5,Eateries,12,12,5000
17,28,F,OBC,Cow Rearing,none,95000,4000,0,2,1,4,50,1,0.5,Animal husbandry,12,50,7500
18,34,M,Gorai,Vegetable vendor,Others,48000,4000,0,1,1,3,50,1,0.5,Agro Based Businesses,12,12,5000
19,57,M,Bouri,Tailoring,Others,36000,5000,0,1,1,5,50,1,0.5,Apparels,12,12,5000
20,48,F,OBC,Banana Cultivation,none,95000,400,0,0,1,4,60,1,0.5,Farming/ Agriculture,12,50,7500
21,23,F,Nil,Utensils selling,Others,36000,3000,0,1,0,3,60,1,0.5,Retail Sale,12,12,5000
22,32,F,SC,Tailoring,none,50000,4400,0,2,1,4,40,1,0.5,Apparels,12,50,7500
23,35,F,Mouchi,Puffed rice business,Others,3600,5000,0,2,1,5,60,1,0.5,Eateries,12,12,5000
24,43,M,Teli,General store,Others,3600,4000,1,1,1,5,50,1,0.5,Retail Store,12,12,5000
25,26,F,OBC,Readymade Garments,none,48000,4000,0,1,1,1,110,1,0.5,Apparels,12,12,5000
26,51,F,Broman,Medical shop,Others,60000,5000,0,3,1,5,60,1,0.5,Retail Store,12,12,5000
27,39,M,Tali,Electronic goods shop,Others,60000,5000,0,1,1,3,60,1,0.5,Retail Store,12,12,5000
28,23,F,OBC,Milk business,none,42000,3500,0,1,1,1,112,1,0.5,Animal husbandry,12,12,5000
29,41,F,OBC,Vegetable vendor,Daily wage labourer,36000,36000,0,0,1,1,110,1,0.5,Agro Based Businesses,12,12,5000
30,46,F,Mouchi,Tailoring,Others,36000,5000,0,0,1,4,40,1,0.5,Apparels,12,12,5000
31,45,M,Tali,Grocery store,Others,48000,5000,0,1,1,3,40,1,0.5,Agro Based Businesses,12,12,5000
32,50,F,OBC,Carpenter/Wood business,Daily wage labourer,36000,3000,0,1,1,1,110,1,0.5,Carpentery work,12,12,5000
33,43,F,Muslim,Banana Cultivation,none,95000,4400,0,0,1,3,50,1,0.5,Farming/ Agriculture,12,50,7500
34,44,F,OBC,Goat rearing,Daily wage labourer,3000,36000,0,0,1,1,110,1,0.5,Meat Businesses,12,12,5000
35,50,F,OBC,Cow Rearing,none,95000,5000,0,0,1,4,130,1,0.5,Animal husbandry,12,50,7500
36,28,F,OBC,Vegetable vendor,Daily wage labourer,48000,4000,0,1,1,1,112,1,0.5,Agro Based Businesses,12,12,5000
37,46,F,OBC,Goat rearing,none,95000,4600,0,0,1,4,50,1,0.5,Meat Businesses,12,50,7500
38,47,F,OBC,Poultry farm,Daily wage labourer,36000,3000,0,0,1,1,110,1,0.5,Meat Businesses,12,12,5000
39,35,F,OBC,Vegetable cultivation,Agriculture,36000,3000,0,0,1,1,110,1,0.5,Farming/ Agriculture,12,12,5000
40,44,F,OBC,Milk business,Daily wage labourer,36000,3000,0,0,1,1,110,1,0.5,Animal husbandry,12,12,5000
41,25,F,OBC,Cattle rearing,Daily wage labourer,36000,3000,0,0,1,1,110,1,0.5,Animal husbandry,12,12,5000
42,23,F,OBC,Goat rearing,Daily wage labourer,60000,4000,0,3,1,1,112,1,0.5,Meat Businesses,12,12,5000
43,34,F,OBC,Brick manufacturing unit,Daily wage labourer,36000,3000,0,0,1,1,112,1,0.5,Construction Related Activities,24,24,5000
